day,well,type,n,sample,cells_per_ml
0,A01,algae,116,1,4640
0,A01,background,336,1,13440
0,A02,algae,560,2,22400
0,A02,background,1122,2,44880
0,A03,algae,117,3,4680
0,A03,background,1027,3,41080
0,A04,algae,543,4,21720
0,A04,background,685,4,27400
0,A05,algae,520,5,20800
0,A05,background,1285,5,51400
0,A06,algae,125,6,5e3
0,A06,background,789,6,31560
0,A07,algae,151,7,6040
0,A07,background,825,7,33e3
0,A08,algae,417,8,16680
0,A08,background,485,8,19400
0,A09,algae,373,9,14920
0,A09,background,596,9,23840
0,A10,algae,478,10,19120
0,A10,background,596,10,23840
0,A11,algae,38,11,1520
0,A11,background,549,11,21960
0,A12,algae,33,12,1320
0,A12,background,564,12,22560
0,B01,algae,3,13,120
0,B01,background,300,13,12e3
0,B02,algae,536,14,21440
0,B02,background,426,14,17040
0,B03,algae,610,15,24400
0,B03,background,432,15,17280
0,B04,algae,259,16,10360
0,B04,background,192,16,7680
0,B05,algae,404,17,16160
0,B05,background,509,17,20360
0,B06,algae,324,18,12960
0,B06,background,422,18,16880
0,B07,algae,357,19,14280
0,B07,background,352,19,14080
0,B08,algae,50,20,2e3
0,B08,background,710,20,28400
0,B09,algae,423,21,16920
0,B09,background,662,21,26480
0,B10,algae,30,22,1200
0,B10,background,387,22,15480
0,B11,algae,452,23,18080
0,B11,background,1245,23,49800
0,B12,algae,324,24,12960
0,B12,background,426,24,17040
0,C01,algae,170,25,6800
0,C01,background,219,25,8760
0,C02,algae,98,26,3920
0,C02,background,576,26,23040
0,C03,algae,39,27,1560
0,C03,background,386,27,15440
0,C04,algae,32,28,1280
0,C04,background,287,28,11480
0,C05,algae,389,29,15560
0,C05,background,340,29,13600
0,C06,algae,64,30,2560
0,C06,background,411,30,16440
0,C07,algae,53,31,2120
0,C07,background,411,31,16440
0,C08,algae,452,32,18080
0,C08,background,364,32,14560
0,C09,algae,363,33,14520
0,C09,background,1201,33,48040
0,C10,algae,406,34,16240
0,C10,background,738,34,29520
0,C11,algae,325,35,13e3
0,C11,background,755,35,30200
0,C12,algae,471,36,18840
0,C12,background,370,36,14800
0,D01,algae,197,37,7880
0,D01,background,596,37,23840
0,D02,algae,99,38,3960
0,D02,background,580,38,23200
0,D03,algae,165,39,6600
0,D03,background,440,39,17600
0,D04,algae,151,40,6040
0,D04,background,729,40,29160
0,D05,algae,473,41,18920
0,D05,background,653,41,26120
0,D06,algae,335,42,13400
0,D06,background,428,42,17120
0,D07,algae,228,43,9120
0,D07,background,933,43,37320
0,D08,algae,221,44,8840
0,D08,background,1382,44,55280
0,D09,algae,579,45,23160
0,D09,background,992,45,39680
0,D10,algae,402,46,16080
0,D10,background,1597,46,63880
0,D11,algae,105,47,4200
0,D11,background,1658,47,66320
0,D12,algae,32,48,1280
0,D12,background,704,48,28160
0,E01,algae,164,49,6560
0,E01,background,319,49,12760
0,E02,algae,127,50,5080
0,E02,background,486,50,19440
0,E03,algae,493,51,19720
0,E03,background,468,51,18720
0,E04,algae,299,52,11960
0,E04,background,318,52,12720
0,E05,algae,533,53,21320
0,E05,background,397,53,15880
0,E06,algae,166,54,6640
0,E06,background,589,54,23560
0,E07,algae,456,55,18240
0,E07,background,311,55,12440
0,E08,algae,61,56,2440
0,E08,background,507,56,20280
0,E09,algae,401,57,16040
0,E09,background,358,57,14320
0,E10,algae,359,58,14360
0,E10,background,1001,58,40040
0,E11,algae,92,59,3680
0,E11,background,1582,59,63280
0,E12,algae,270,60,10800
0,E12,background,498,60,19920
0,F01,algae,169,61,6760
0,F01,background,317,61,12680
0,F02,algae,432,62,17280
0,F02,background,386,62,15440
0,F03,algae,40,63,1600
0,F03,background,364,63,14560
0,F04,algae,50,64,2e3
0,F04,background,474,64,18960
0,F05,algae,579,65,23160
0,F05,background,542,65,21680
0,F06,algae,453,66,18120
0,F06,background,771,66,30840
0,F07,algae,657,67,26280
0,F07,background,701,67,28040
0,F08,algae,90,68,3600
0,F08,background,615,68,24600
0,F09,algae,728,69,29120
0,F09,background,1011,69,40440
0,F10,algae,448,70,17920
0,F10,background,1485,70,59400
0,F11,algae,356,71,14240
0,F11,background,775,71,31e3
0,F12,algae,370,72,14800
0,F12,background,1005,72,40200
0,G01,algae,20,73,800
0,G01,background,247,73,9880
0,G02,algae,530,74,21200
0,G02,background,408,74,16320
0,G03,algae,474,75,18960
0,G03,background,322,75,12880
0,G04,algae,623,76,24920
0,G04,background,619,76,24760
0,G05,algae,84,77,3360
0,G05,background,505,77,20200
0,G06,algae,471,78,18840
0,G06,background,681,78,27240
0,G07,algae,478,79,19120
0,G07,background,1143,79,45720
0,G08,algae,684,80,27360
0,G08,background,897,80,35880
0,G09,algae,834,81,33360
0,G09,background,1516,81,60640
0,G10,algae,340,82,13600
0,G10,background,1457,82,58280
0,G11,algae,184,83,7360
0,G11,background,1445,83,57800
0,G12,algae,396,84,15840
0,G12,background,361,84,14440
0,H01,algae,455,85,18200
0,H01,background,520,85,20800
0,H02,algae,385,86,15400
0,H02,background,969,86,38760
0,H03,algae,629,87,25160
0,H03,background,560,87,22400
0,H04,algae,241,88,9640
0,H04,background,995,88,39800
0,H05,algae,524,89,20960
0,H05,background,692,89,27680
0,H06,algae,408,90,16320
0,H06,background,1380,90,55200
0,H07,algae,498,91,19920
0,H07,background,986,91,39440
0,H08,algae,178,92,7120
0,H08,background,1471,92,58840
0,H09,algae,619,93,24760
0,H09,background,2665,93,106600
0,H10,algae,349,94,13960
0,H10,background,1778,94,71120
0,H11,algae,603,95,24120
0,H11,background,1846,95,73840
0,H12,algae,312,96,12480
0,H12,background,726,96,29040
1,A01,algae,732,1,29280
1,A01,background,1663,1,66520
1,A02,algae,671,2,26840
1,A02,background,876,2,35040
1,A03,algae,77,3,3080
1,A03,background,557,3,22280
1,A04,algae,307,4,12280
1,A04,background,238,4,9520
1,A05,algae,319,5,12760
1,A05,background,276,5,11040
1,A06,algae,183,6,7320
1,A06,background,286,6,11440
1,A07,algae,132,7,5280
1,A07,background,434,7,17360
1,A08,algae,290,8,11600
1,A08,background,243,8,9720
1,A09,algae,233,9,9320
1,A09,background,312,9,12480
1,A10,algae,988,10,39520
1,A10,background,900,10,36e3
1,A11,algae,99,11,3960
1,A11,background,679,11,27160
1,A12,algae,119,12,4760
1,A12,background,958,12,38320
1,B01,algae,282,13,11280
1,B01,background,717,13,28680
1,B02,algae,1010,14,40400
1,B02,background,781,14,31240
1,B03,algae,458,15,18320
1,B03,background,186,15,7440
1,B04,algae,355,16,14200
1,B04,background,194,16,7760
1,B05,algae,482,17,19280
1,B05,background,490,17,19600
1,B06,algae,239,18,9560
1,B06,background,242,18,9680
1,B07,algae,690,19,27600
1,B07,background,371,19,14840
1,B08,algae,99,20,3960
1,B08,background,460,20,18400
1,B09,algae,664,21,26560
1,B09,background,574,21,22960
1,B10,algae,152,22,6080
1,B10,background,402,22,16080
1,B11,algae,925,23,37e3
1,B11,background,1993,23,79720
1,B12,algae,497,24,19880
1,B12,background,815,24,32600
1,C01,algae,312,25,12480
1,C01,background,558,25,22320
1,C02,algae,101,26,4040
1,C02,background,322,26,12880
1,C03,algae,140,27,5600
1,C03,background,494,27,19760
1,C04,algae,169,28,6760
1,C04,background,722,28,28880
1,C05,algae,674,29,26960
1,C05,background,342,29,13680
1,C06,algae,103,30,4120
1,C06,background,578,30,23120
1,C07,algae,120,31,4800
1,C07,background,518,31,20720
1,C08,algae,689,32,27560
1,C08,background,286,32,11440
1,C09,algae,221,33,8840
1,C09,background,229,33,9160
1,C10,algae,261,34,10440
1,C10,background,472,34,18880
1,C11,algae,474,35,18960
1,C11,background,826,35,33040
1,C12,algae,792,36,31680
1,C12,background,239,36,9560
1,D01,algae,702,37,28080
1,D01,background,573,37,22920
1,D02,algae,50,38,2e3
1,D02,background,174,38,6960
1,D03,algae,561,39,22440
1,D03,background,491,39,19640
1,D04,algae,185,40,7400
1,D04,background,773,40,30920
1,D05,algae,529,41,21160
1,D05,background,693,41,27720
1,D06,algae,575,42,23e3
1,D06,background,657,42,26280
1,D07,algae,78,43,3120
1,D07,background,538,43,21520
1,D08,algae,177,44,7080
1,D08,background,814,44,32560
1,D09,algae,271,45,10840
1,D09,background,157,45,6280
1,D10,algae,559,46,22360
1,D10,background,720,46,28800
1,D11,algae,102,47,4080
1,D11,background,633,47,25320
1,D12,algae,77,48,3080
1,D12,background,849,48,33960
1,E01,algae,582,49,23280
1,E01,background,779,49,31160
1,E02,algae,187,50,7480
1,E02,background,1365,50,54600
1,E03,algae,609,51,24360
1,E03,background,435,51,17400
1,E04,algae,342,52,13680
1,E04,background,491,52,19640
1,E05,algae,913,53,36520
1,E05,background,781,53,31240
1,E06,algae,83,54,3320
1,E06,background,500,54,2e4
1,E07,algae,780,55,31200
1,E07,background,261,55,10440
1,E08,algae,59,56,2360
1,E08,background,603,56,24120
1,E09,algae,330,57,13200
1,E09,background,217,57,8680
1,E10,algae,512,58,20480
1,E10,background,943,58,37720
1,E11,algae,67,59,2680
1,E11,background,715,59,28600
1,E12,algae,193,60,7720
1,E12,background,233,60,9320
1,F01,algae,873,61,34920
1,F01,background,760,61,30400
1,F02,algae,464,62,18560
1,F02,background,266,62,10640
1,F03,algae,61,63,2440
1,F03,background,777,63,31080
1,F04,algae,79,64,3160
1,F04,background,589,64,23560
1,F05,algae,156,65,6240
1,F05,background,102,65,4080
1,F06,algae,346,66,13840
1,F06,background,893,66,35720
1,F07,algae,544,67,21760
1,F07,background,231,67,9240
1,F08,algae,129,68,5160
1,F08,background,763,68,30520
1,F09,algae,669,69,26760
1,F09,background,645,69,25800
1,F10,algae,393,70,15720
1,F10,background,825,70,33e3
1,F11,algae,440,71,17600
1,F11,background,809,71,32360
1,F12,algae,196,72,7840
1,F12,background,510,72,20400
1,G01,algae,138,73,5520
1,G01,background,591,73,23640
1,G02,algae,428,74,17120
1,G02,background,275,74,11e3
1,G03,algae,576,75,23040
1,G03,background,277,75,11080
1,G04,algae,671,76,26840
1,G04,background,365,76,14600
1,G05,algae,77,77,3080
1,G05,background,467,77,18680
1,G06,algae,407,78,16280
1,G06,background,294,78,11760
1,G07,algae,321,79,12840
1,G07,background,593,79,23720
1,G08,algae,209,80,8360
1,G08,background,137,80,5480
1,G09,algae,833,81,33320
1,G09,background,539,81,21560
1,G10,algae,214,82,8560
1,G10,background,308,82,12320
1,G11,algae,141,83,5640
1,G11,background,436,83,17440
1,G12,algae,416,84,16640
1,G12,background,329,84,13160
1,H01,algae,852,85,34080
1,H01,background,741,85,29640
1,H02,algae,263,86,10520
1,H02,background,722,86,28880
1,H03,algae,893,87,35720
1,H03,background,758,87,30320
1,H04,algae,92,88,3680
1,H04,background,749,88,29960
1,H05,algae,255,89,10200
1,H05,background,234,89,9360
1,H06,algae,103,90,4120
1,H06,background,583,90,23320
1,H07,algae,595,91,23800
1,H07,background,1786,91,71440
