row,column,sample
a,1,1
a,2,2
a,3,3
a,4,4
a,5,5
a,6,6
a,7,7
a,8,8
a,9,9
a,10,10
a,11,11
a,12,12
b,1,13
b,2,14
b,3,15
b,4,16
b,5,17
b,6,18
b,7,19
b,8,20
b,9,21
b,10,22
b,11,23
b,12,24
c,1,25
c,2,26
c,3,27
c,4,28
c,5,29
c,6,30
c,7,31
c,8,32
c,9,33
c,10,34
c,11,35
c,12,36
d,1,37
d,2,38
d,3,39
d,4,40
d,5,41
d,6,42
d,7,43
d,8,44
d,9,45
d,10,46
d,11,47
d,12,48
e,1,49
e,2,50
e,3,51
e,4,52
e,5,53
e,6,54
e,7,55
e,8,56
e,9,57
e,10,58
e,11,59
e,12,60
f,1,61
f,2,62
f,3,63
f,4,64
f,5,65
f,6,66
f,7,67
f,8,68
f,9,69
f,10,70
f,11,71
f,12,72
g,1,73
g,2,74
g,3,75
g,4,76
g,5,77
g,6,78
g,7,79
g,8,80
g,9,81
g,10,82
g,11,83
g,12,84
h,1,85
h,2,86
h,3,87
h,4,88
h,5,89
h,6,90
h,7,91
h,8,92
h,9,93
h,10,94
h,11,95
h,12,96
